accession,strain
HQ898768,MIAE00375
JN034675,M805
JN545836,AG-4 HG-I
JQ313811,DB DB 201211
JQ675535,NFCCI 2601
JQ675536,NFCCI 2602
JQ616849,AG2-1
JQ616852,AG2-1
JQ616853,AG2-1
JQ616855,AG4-HGI
JQ616856,AG4-HGI
JQ616857,AG4-HGI
JQ616858,AG4-HGIII
JQ616859,AG4-HGIII
JQ616860,AG4-HGI
JQ616861,AG4-HGI
JQ616862,AG4-HGI
JQ616863,AG4
JQ616864,AG2-1
JQ616865,AG2-1
JQ616866,AG2-1
JQ616867,AG2-1
JQ616869,AG4-HGIII
JQ616870,AG2-1
JQ616871,AG2-1
JQ616872,AG2-1
JQ616874,AG2-1
JQ812797,JWC-14
JQ812798,JGY-17
JQ812799,JGY-5
JQ812800,JFN-4
JQ812801,MGY-1
JQ812802,MCH-7
JQ812803,JWC-1
JQ812804,JZB-1
JQ812805,MWC-4
JQ812806,MCH
JQ311915,AG1-IA
JX294316,11D
JX294318,3240
JX294319,3242
JX294321,3620
JX294323,3626
JX294327,3677
JX294328,3791
JX294329,3794
JX294332,3798
JX294333,3800
JX294334,3801
JX294335,3803
JX294338,3808
JX294340,3812
JX294341,3838
JX294343,3843
JX294344,3845
JX294346,3979
JX294347,4160
JX294348,4161
JQ676844,R002
JQ676845,R003
JQ676846,R004
JQ676849,R007
JQ676850,R008
JQ676852,R010
JQ676853,R011
JQ676854,R013
JQ676855,R014
JQ676856,R017
JQ676857,R018
JQ676858,R020
JQ676859,R022
JQ676860,R023
JQ676861,R025
JQ676862,R026
JQ676863,R028
JQ676864,R029
JQ676865,R030
JQ676866,R033
JQ676867,R035
JQ676868,R036
JQ676869,R037
JQ676870,R038
JQ676872,R040
JQ676873,R041
JQ676874,R042
JQ676875,R043
JQ676876,R044
JQ676878,R047
JQ676879,R048
JQ676880,R049
JQ676881,R050
JQ676882,R052
JQ676884,R054
JQ676885,R055
JQ676886,R058
JQ676887,R059
JQ676888,R061
JQ676889,R063
JQ676890,R064
JQ676891,R065
JQ676892,R066
JQ676893,R067
JQ676894,R068
JQ676895,R069
JQ676897,R071
JQ676898,R072
JQ676899,R074
JQ676900,R075
JQ676901,R076
JQ676902,R077
JQ676903,R078
JQ676904,R079
JQ676905,R080
JQ676906,R081
JQ676907,R082
JQ676908,R083
JQ676910,R086
JQ676911,R087
JQ676913,R089
JQ676914,R090
JQ676915,R093
JQ676916,R094
JQ676917,R095
JQ676918,R097
JQ676919,R098
JQ676921,R100
JQ676923,R102
JQ676924,R103
JQ676925,R104
JQ676927,R110
JQ676928,R111
JQ676929,R112
JQ676930,R113
JQ676931,R114
JQ676932,R115
JQ676933,R116
JQ676934,R117
JQ676935,R118
JQ676936,R119
JQ676937,R120
JQ676938,R121
JQ676939,R122
JQ676940,R123
JX631156,AG 1-IB
JX631157,AG 1-IB
JX631158,AG 1-IB
JX631159,AG 1-IB
JX631160,AG 1-IB
JX631161,AG 1-IB
JX631162,AG 1-IB
JX631163,AG 1-IB
JX631164,AG 1-IB
JX631165,AG 1-IB
JX631166,AG 1-IB
JX631167,AG 1-IB
JX631168,AG 1-IB
JX631169,AG 1-IB
JX631170,AG 1-IB
JX631171,AG 1-IB
JX631172,AG 1-IB
JX631173,AG 1-IB
JX631174,AG 2-2IIIB
JX631175,AG 2-2IIIB
JX631176,AG 2-2IIIB
JX631177,AG 2-2IIIB
JX631178,AG 2-2IIIB
JX631179,AG 2-2IIIB
JX631180,AG 2-2IIIB
JX631181,AG 2-2IIIB
JX631182,AG 2-2IIIB
JX631183,AG 2-2IIIB
JX631184,AG 2-2IIIB
JX631185,AG 2-2IIIB
JX631186,AG 2-2IIIB
JX631187,AG 2-2IIIB
JX631188,AG 2-2IIIB
JX631189,AG 2-2IIIB
JX631190,AG 2-2IIIB
JX631191,AG 2-2IIIB
JX631192,AG 2-2IIIB
JX631193,AG 2-2IIIB
JX631194,AG 2-2IIIB
JX631195,AG 2-2IIIB
JX631196,AG 2-2IIIB
JX631197,AG 2-2IIIB
JX631198,AG 2-2IIIB
JX631199,AG 2-2IIIB
JX631200,AG 2-2IIIB
JX631201,AG 2-2IIIB
JX631202,AG 2-2IIIB
JX631203,AG 2-2IIIB
JX631204,AG 5
JX913809,AG-2-2 IIIB
JX913810,AG-2-2 IIIB
JX913811,AG-2-2 IIIB
JX913812,AG-2-2 IIIB
JX913813,AG-2-2 IIIB
JX913814,AG-2-2 IIIB
JX913815,AG-2-2 IIIB
JX913816,AG-1 1A
KC005724,DB070712
JX843818,AG4-HGII
JX843819,AG4-HGII
JX843820,AG4-HGII
KC413984,AG2-2IIIB
KC413985,AG2-2IIIB
KC413986,AG2-2IIIB
KC493638,DB041212
KF907702,AG 1-IA
KF907703,AG 1-IA
KF907704,AG 1-IA
KF907705,AG 1-IA
KF907706,AG 1-IA
KF907707,AG 1-IA
KF907708,AG 1-IA
KF907709,AG 1-IA
KF907710,AG 1-IA
KF907711,AG 1-IA
KF907712,AG 1-IA
KF907713,AG 1-IA
KF907714,AG 1-IA
KF907715,AG 1-IA
KF907716,AG 1-IB
KF907717,AG 1-IB
KF907718,AG 1-IB
KF907719,AG 1-IB
KF907720,AG 1-ID
KF907721,AG 1-ID
KF907722,AG 1-ID
KF907723,AG 1-ID
KF907724,AG 1-ID
KF907725,AG 1-ID
KF907726,AG 2-2WB
KF907727,AG 2-2WB
KF907728,AG 2-2WB
KF907729,AG 2-2WB
KF907730,AG 1IG
KF907731,AG 4-HGI
KF907732,AG 4-HGI
KF907733,AG 4-HGI
KF870886,10-C-F_5C
KF870887,10-C-F_16C
KF870888,10-C-F_20C
KF870889,10-C-T_7R
KF870890,10-C-T_13C
KF870891,10-D4_16R
KF870892,10-D5_3C
KF870893,10-D5_12C
KF870894,11-A2_16R
KF870895,11-A4_10C
KF870896,11-A7_4C
KF870897,11-A10_9C
KF870898,11-A10_10C
KF870899,11-A10_11C
KF870900,11-A10_16C
KF870901,D4_5R
KF870902,D4_9C
KF870903,D4_12_C
KF870904,D4_14R
KF870905,D5_12C
KF870906,D5_13C
KF870907,D5_19_C
KF870908,D5_19S
KF870909,D6_16C
KF870910,M1_1C
KF870911,M1_2S
KF870912,M1_6S
KF870913,M1_8S
KF870914,M1_9C
KF870915,M1_12C
KF870916,10-C-5_10R
KF870917,10-C-5_19C
KF870918,10-D-10_9C
KF870919,10-D-10_11C
KF870920,10-M13_8C
KF870921,10-M13_19C
KF870922,10-M13S_5C
KF870923,10-M13S_6C
KF870924,11-M11_14C
KF870925,11-M11_20C
KF870926,M6_14C
KF870927,M7_2C
KF870928,M7_3C
KF870929,M7_4C
KF870930,M7_7C
KF870931,M7_8C
KF870932,M7_10R
KF870933,M7_11R
KF870934,M7_12C
KF870935,M7_16R
KF870936,M9_16R
KF870937,M9_18C
KF870938,M9_19R
KF870939,M10_1C
KF870941,M10_3C
KF870942,M10_9C
KF870943,M10_13C
KF870944,M10_18C
KF870945,M10_21C
KF870946,M10_23C
KF870947,M11_1R
KF870948,M11_4R
KF870949,M11_9R
KF870950,M11_16C
KF870951,M11_18C
KF870952,M11_24R
KF870953,10-C-P1_4C
KF870954,10-C-P1_5C
KF870955,10-C-P1_6C
KF870956,10-C-P1_7R
KF870957,10-C-P1_8C
KF870958,10-C-P1_11C
KF870959,10-C-P1_12C
KF870960,10-C-P1_13C
KF870961,10-C-P1_15C
KF870962,10-C-P1_16C
KF870963,10-C-P1_17R
KF870964,10-C-P1_18C
KF870965,10-C-P1_20C
KF870966,10-C-P3_10C
KF870967,10-C-P3_15C
KF870968,10-D7-13_12_C
KF870969,11-S3_4C
KF870970,11-S3_10C
KF870971,11-S3_14C
KF870972,11-S4_14C
KF870973,11-S4_15C
KF870974,11-S4_16C
KF870975,11-S4_20C
KF870976,11-S5_1C
KF870977,11-S5_2C
KF870978,11-S5_4C
KF870979,11-S5_6C
KF870980,11-S5_7C
KF870981,11-S5_8C
KF870982,11-S5_9C
KF870983,11-S5_10C
KF870984,11-S5_11C
KF870985,11-S5_13R
KF870986,11-S5_14C
KF870987,11-S5_15C
KF870988,11-S6_6C
KF870989,11-S6_7C
KF870990,11-S6_11C
KF870991,11-S6_15C
KF870992,11-S6_16C
KF870993,11-S6_18C
KF870994,11-S6_19C
KF870995,CMC2_9C
KF870996,D7_11C
KF870997,D8_13R
KJ652221,Capip2
KJ777547,AG3
KJ777555,AG3
KJ777562,AG3
KM283226,R2
KM283227,R3
KM283228,R4
KM283230,R6
KM283231,R7
KM283232,R11
KM283233,R12
KM283234,R13
KF959669,HPBaj
KF959670,HPKul
KF959671,HPDhk
KF959672,HPSnG
KF959673,HPSdw
KF959674,HPAhr
KF959675,UAAlm
KF959676,UAHwb
KF959678,SKM
KF959679,UPVns
KF959680,UPCnd
KF959681,UPFzb
KF959682,UPLck
KF959683,ODJsp
KF959684,JHRch
KF959685,MHKlp
KF959686,RJUdp
KF959687,RJJhr
KF959688,RJLhs
KF959689,RJFtn
KF959690,RJSrm
KF959691,APElr
KF959692,APHyd
KF959693,APRng
KF959694,APHyd
KF959695,HRLdw
KF959696,HRDbw
KF959697,HRSrs
KF959698,HRJhk
KF959699,HRFbd
KF959700,HRBgd
KF959701,HRRta
KF959702,HRDtp
KF959703,HRAsd
KF959704,HRKth
KF959705,HRTek
KF959706,HRKrl
KF959707,HRKrl
KF959708,HRJdl
KF959709,HRUch
KF959710,HRPck
KF959711,HRZnd
KF959712,HRSnp
KF959713,HRBwl
KF959714,PJLud
KF959715,HRKuk
KF959716,HRPpl
KF959717,HRPti
KF959718,HRKau
KF959719,HRKau
KF959720,HRBhw
KF959721,HRHns
KF959722,HRYmn
KF959723,JHDmk
KF959724,HRPnp
KF959725,HRBdo
KF959726,HRJhj
KF959727,HRNrw
KF959728,HRDnu
KF959729,PJHsp
KF959730,DLKbg
KP059879,AGI-1AKA
KP013069,AG-2-1
KP013070,AG-3 PT
KP013071,AG-3 PT
KP013072,AG-5
KP662690,AG-5
KP662691,AG-4HGI
KP662692,AG-2-1
KP662693,AG-2-1
KP202862,AG-1 IB
KP296705,QM-1
KP171634,AG-1-IA
KP411232,SYC12-1-1
KP411233,SCY12-2-3
KP411234,SCY8-1-3
KP411235,SCY8-1-2
KP736173,Rs52/B
KP736175,Rs57/B
KP736176,Rs58/B
KP736177,Rs59/B
KP736178,Rs62/B
KP736179,Rs63/B
KP736180,Rs64/B
KP736181,Rs65/B
KP736196,Rs86/B
KP736197,Rs87/B
KP978016,AG-1 IA
KT345948,AG2-1
KT286731,LXlg-1
KT286732,RZcd-1
KU161133,7F2
KU161134,10F31
KU161142,10F29
KU216129,AG1-IB
KX101052,CRI-Rs1
KX101053,CRI-Rs2
